rodada,MQO tradicional,MQO regularizado lambda=0.25,MQO polinomial q=4
1,0.7253,0.7253,0.9924
2,0.7209,0.7209,0.9929
3,0.7283,0.7283,0.9927
4,0.726,0.726,0.9917
5,0.7211,0.7211,0.9915
6,0.7222,0.7222,0.9921
7,0.7123,0.7123,0.9927
8,0.7246,0.7246,0.9925
9,0.7243,0.7243,0.992
10,0.7242,0.7242,0.9933
11,0.7205,0.7205,0.993
12,0.7258,0.7258,0.9922
13,0.7307,0.7307,0.9941
14,0.7345,0.7345,0.9928
15,0.7206,0.7206,0.9924
16,0.7268,0.7268,0.9932
17,0.7273,0.7273,0.9932
18,0.7309,0.7309,0.9919
19,0.7363,0.7363,0.991
20,0.712,0.712,0.9921
21,0.7097,0.7097,0.9927
22,0.7148,0.7148,0.9937
23,0.7243,0.7243,0.9934
24,0.7263,0.7263,0.9922
25,0.7332,0.7332,0.993
26,0.7156,0.7156,0.9926
27,0.7194,0.7194,0.9929
28,0.7259,0.7259,0.9933
29,0.7193,0.7193,0.9946
30,0.713,0.713,0.9935
31,0.7123,0.7123,0.9919
32,0.7197,0.7197,0.9928
33,0.7273,0.7273,0.9941
34,0.7171,0.7171,0.9936
35,0.7285,0.7285,0.9936
36,0.712,0.712,0.9921
37,0.7129,0.7129,0.9942
38,0.7242,0.7242,0.9928
39,0.7138,0.7138,0.994
40,0.7238,0.7238,0.9932
41,0.7344,0.7344,0.9914
42,0.7126,0.7126,0.992
43,0.7285,0.7285,0.9929
44,0.7324,0.7324,0.9933
45,0.7206,0.7206,0.992
46,0.7068,0.7068,0.993
47,0.7142,0.7142,0.993
48,0.7313,0.7313,0.9945
49,0.7243,0.7243,0.9935
50,0.7149,0.7149,0.9917
51,0.7284,0.7284,0.9917
52,0.7249,0.7249,0.9915
53,0.7229,0.7229,0.9913
54,0.7314,0.7314,0.9924
55,0.7259,0.7259,0.9919
56,0.712,0.712,0.9936
57,0.7223,0.7223,0.9924
58,0.728,0.728,0.9918
59,0.7223,0.7223,0.9932
60,0.7184,0.7184,0.9935
61,0.724,0.724,0.9937
62,0.7183,0.7183,0.9937
63,0.7359,0.7359,0.993
64,0.7262,0.7262,0.9921
65,0.7246,0.7246,0.9928
66,0.7253,0.7253,0.9924
67,0.7283,0.7283,0.9929
68,0.7258,0.7258,0.9922
69,0.7261,0.7261,0.9941
70,0.7315,0.7315,0.9936
71,0.7211,0.7211,0.9929
72,0.7348,0.7348,0.9915
73,0.7245,0.7245,0.9932
74,0.7322,0.7322,0.9925
75,0.7412,0.7412,0.9934
76,0.7278,0.7278,0.9913
77,0.7331,0.7331,0.9939
78,0.7147,0.7147,0.9908
79,0.728,0.728,0.9931
80,0.7243,0.7243,0.9944
81,0.7159,0.7159,0.9934
82,0.7243,0.7243,0.9943
83,0.7311,0.7311,0.9922
84,0.7198,0.7198,0.9929
85,0.7207,0.7207,0.9929
86,0.7198,0.7198,0.9933
87,0.7152,0.7152,0.9925
88,0.7178,0.7178,0.9933
89,0.7189,0.7189,0.9918
90,0.7228,0.7228,0.9928
91,0.7221,0.7221,0.9924
92,0.7208,0.7208,0.992
93,0.7247,0.7247,0.9937
94,0.7264,0.7264,0.9939
95,0.7343,0.7343,0.9935
96,0.7252,0.7252,0.9937
97,0.7169,0.7169,0.9941
98,0.7173,0.7173,0.9927
99,0.7176,0.7176,0.9931
100,0.7243,0.7243,0.9938
101,0.7302,0.7302,0.9922
102,0.7212,0.7212,0.9916
103,0.7201,0.7201,0.9926
104,0.7249,0.7249,0.9932
105,0.728,0.728,0.9935
106,0.7234,0.7234,0.9925
107,0.719,0.719,0.9932
108,0.7253,0.7253,0.9924
109,0.7331,0.7331,0.9924
110,0.7157,0.7157,0.9922
111,0.7181,0.7181,0.992
112,0.7279,0.7279,0.9935
113,0.7263,0.7263,0.9926
114,0.727,0.727,0.9948
115,0.7256,0.7256,0.9928
116,0.7252,0.7252,0.9929
117,0.7325,0.7325,0.9912
118,0.7193,0.7193,0.9914
119,0.7208,0.7208,0.9923
120,0.7139,0.7139,0.9937
121,0.7308,0.7308,0.9924
122,0.7278,0.7278,0.9933
123,0.7233,0.7233,0.9929
124,0.7238,0.7238,0.9925
125,0.7286,0.7286,0.9938
126,0.7271,0.7271,0.9934
127,0.7379,0.7379,0.9932
128,0.7241,0.7241,0.9947
129,0.7286,0.7286,0.9921
130,0.7241,0.7241,0.993
131,0.7234,0.7234,0.9929
132,0.7206,0.7206,0.9929
133,0.7173,0.7173,0.9936
134,0.7251,0.7251,0.9938
135,0.7186,0.7186,0.9923
136,0.7195,0.7195,0.9926
137,0.7163,0.7163,0.9931
138,0.7127,0.7127,0.9947
139,0.7265,0.7265,0.9934
140,0.7245,0.7245,0.9913
141,0.7178,0.7178,0.9939
142,0.7214,0.7214,0.9932
143,0.7152,0.7152,0.9926
144,0.719,0.719,0.9938
145,0.7255,0.7255,0.9924
146,0.7212,0.7212,0.9922
147,0.721,0.721,0.9924
148,0.7105,0.7105,0.993
149,0.7204,0.7204,0.9916
150,0.7199,0.7199,0.9941
151,0.7223,0.7223,0.9931
152,0.7299,0.7299,0.9929
153,0.721,0.721,0.992
154,0.729,0.729,0.9933
155,0.7256,0.7256,0.9936
156,0.7269,0.7269,0.9938
157,0.7309,0.7309,0.9926
158,0.7344,0.7344,0.9925
159,0.7202,0.7202,0.9928
160,0.725,0.725,0.9941
161,0.7186,0.7186,0.9941
162,0.7186,0.7186,0.9933
163,0.7241,0.7241,0.9935
164,0.7245,0.7245,0.9934
165,0.7342,0.7342,0.9929
166,0.7193,0.7193,0.9921
167,0.7233,0.7233,0.9935
168,0.722,0.722,0.9919
169,0.7132,0.7132,0.9929
170,0.7205,0.7205,0.9934
171,0.7291,0.7291,0.9927
172,0.7106,0.7106,0.9948
173,0.7308,0.7308,0.9928
174,0.7238,0.7238,0.9919
175,0.7289,0.7289,0.9922
176,0.7117,0.7117,0.9931
177,0.7145,0.7145,0.9932
178,0.7358,0.7358,0.9907
179,0.7245,0.7245,0.9937
180,0.7289,0.7289,0.9931
181,0.7198,0.7198,0.9932
182,0.7328,0.7328,0.9915
183,0.7181,0.7181,0.9922
184,0.715,0.715,0.9924
185,0.7236,0.7236,0.9918
186,0.7284,0.7284,0.9936
187,0.7285,0.7285,0.9922
188,0.7305,0.7305,0.9924
189,0.7132,0.7132,0.9937
190,0.7255,0.7255,0.9919
191,0.72,0.72,0.9925
192,0.7246,0.7246,0.9934
193,0.723,0.723,0.9906
194,0.722,0.722,0.9941
195,0.7228,0.7228,0.9923
196,0.7224,0.7224,0.9932
197,0.7231,0.7231,0.9914
198,0.7275,0.7275,0.9912
199,0.7171,0.7171,0.9937
200,0.7261,0.7261,0.9927
201,0.7258,0.7258,0.9937
202,0.7197,0.7197,0.9932
203,0.7203,0.7203,0.9928
204,0.72,0.72,0.9933
205,0.7279,0.7279,0.9921
206,0.7198,0.7198,0.9925
207,0.7248,0.7248,0.9919
208,0.735,0.735,0.992
209,0.7272,0.7272,0.994
210,0.7296,0.7296,0.9915
211,0.7259,0.7259,0.9943
212,0.7255,0.7255,0.9931
213,0.738,0.738,0.9924
214,0.7244,0.7244,0.9922
215,0.7242,0.7242,0.9936
216,0.7165,0.7165,0.9931
217,0.7304,0.7304,0.9914
218,0.7261,0.7261,0.9927
219,0.716,0.716,0.9911
220,0.722,0.722,0.9931
221,0.7227,0.7227,0.9933
222,0.7167,0.7167,0.9943
223,0.7241,0.7241,0.9932
224,0.7281,0.7281,0.994
225,0.7191,0.7191,0.9941
226,0.7251,0.7251,0.9912
227,0.7257,0.7257,0.9939
228,0.7354,0.7354,0.9923
229,0.7204,0.7204,0.9925
230,0.7212,0.7212,0.9923
231,0.7205,0.7205,0.9925
232,0.7299,0.7299,0.9922
233,0.7229,0.7229,0.993
234,0.7252,0.7252,0.9936
235,0.7246,0.7246,0.9934
236,0.7269,0.7269,0.9926
237,0.7246,0.7246,0.9936
238,0.7237,0.7237,0.9921
239,0.7279,0.7279,0.9924
240,0.7184,0.7184,0.9918
241,0.7138,0.7138,0.9934
242,0.7268,0.7268,0.9936
243,0.7265,0.7265,0.9933
244,0.7209,0.7209,0.9921
245,0.7316,0.7316,0.9936
246,0.7151,0.7151,0.9919
247,0.7309,0.7309,0.9929
248,0.7322,0.7322,0.9918
249,0.7272,0.7272,0.9941
250,0.7235,0.7235,0.9934
251,0.723,0.723,0.992
252,0.727,0.727,0.9932
253,0.731,0.731,0.9922
254,0.7165,0.7165,0.994
255,0.7243,0.7243,0.9928
256,0.7189,0.7189,0.9927
257,0.717,0.717,0.9928
258,0.7114,0.7114,0.9924
259,0.7337,0.7337,0.9928
260,0.7156,0.7156,0.9924
261,0.7277,0.7277,0.9921
262,0.7249,0.7249,0.9929
263,0.7174,0.7174,0.9926
264,0.7202,0.7202,0.9921
265,0.7164,0.7164,0.9922
266,0.7291,0.7291,0.9927
267,0.7194,0.7194,0.9927
268,0.7195,0.7195,0.9916
269,0.7096,0.7096,0.9922
270,0.7181,0.7181,0.9931
271,0.7295,0.7295,0.992
272,0.7248,0.7248,0.9925
273,0.7013,0.7013,0.9923
274,0.7225,0.7225,0.9918
275,0.7202,0.7202,0.9925
276,0.7309,0.7309,0.9933
277,0.7364,0.7364,0.993
278,0.7149,0.7149,0.9919
279,0.7349,0.7349,0.9934
280,0.7317,0.7317,0.9925
281,0.7299,0.7299,0.9921
282,0.7269,0.7269,0.994
283,0.7114,0.7114,0.9922
284,0.7192,0.7192,0.9923
285,0.7228,0.7228,0.9918
286,0.7375,0.7375,0.9922
287,0.731,0.731,0.9907
288,0.718,0.718,0.9945
289,0.7255,0.7255,0.9934
290,0.7251,0.7251,0.9916
291,0.7202,0.7202,0.9925
292,0.7172,0.7172,0.9936
293,0.7187,0.7187,0.9927
294,0.7322,0.7322,0.9935
295,0.7287,0.7287,0.9925
296,0.7253,0.7253,0.9919
297,0.7206,0.7206,0.9928
298,0.7172,0.7172,0.9923
299,0.7108,0.7108,0.9944
300,0.7204,0.7204,0.9914
301,0.7315,0.7315,0.9926
302,0.7281,0.7281,0.9925
303,0.7244,0.7244,0.9927
304,0.7213,0.7213,0.9925
305,0.7195,0.7195,0.9944
306,0.7347,0.7347,0.9923
307,0.7384,0.7384,0.9931
308,0.7205,0.7205,0.9936
309,0.7277,0.7277,0.9936
310,0.7152,0.7152,0.9922
311,0.717,0.717,0.9928
312,0.7369,0.7369,0.9936
313,0.7303,0.7303,0.9933
314,0.7244,0.7244,0.992
315,0.7309,0.7309,0.9916
316,0.7229,0.7229,0.9924
317,0.7325,0.7325,0.9933
318,0.7253,0.7253,0.9924
319,0.7298,0.7298,0.9942
