rodada,Polinomial q=9 - MSE,Polinomial q=9 - R2,MQO tradicional - MSE,MQO tradicional - R2,MQO regularizado lambda=0.25 - MSE,MQO regularizado lambda=0.25 - R2,MQO regularizado lambda=0.5 - MSE,MQO regularizado lambda=0.5 - R2,MQO regularizado lambda=0.75 - MSE,MQO regularizado lambda=0.75 - R2,MQO regularizado lambda=1 - MSE,MQO regularizado lambda=1 - R2
1,4.868304608061937e+22,0.9931596761753105,4.187827822322961e+24,0.41157957989533056,4.1860418333672836e+24,0.41183052439834955,4.1845697610043013e+24,0.41203736132551094,4.1834014467265665e+24,0.4122015180213653,4.182527065996316e+24,0.41232437490528073
2,3.2069033607463856e+21,0.9995240688215526,3.0727488918294577e+24,0.5439784625063564,3.077028647742059e+24,0.5433433110702753,3.081591962031164e+24,0.542666077208531,3.086428555068899e+24,0.541948286503549,3.0915284978090283e+24,0.5411914125085189
3,1.378390734998237e+22,0.9984408423096841,4.1137297444541135e+24,0.5346781428449634,4.1295011205390854e+24,0.5328941739248749,4.1454035204295496e+24,0.5310953843324792,4.1614296111848245e+24,0.5292826035285789,4.177572336340075e+24,0.527456629700592
4,2.8910803993476926e+21,0.993913637953671,1.3437644702972083e+24,-1.8289206599261352,1.3201360408843667e+24,-1.7791776033078799,1.2970007183890068e+24,-1.730472645536,1.2743464449186731e+24,-1.6827804020867676,1.2521615143664216e+24,-1.6360762290225623
5,4.2986010224337e+21,0.9994832671897599,4.195862252152715e+24,0.49561736908817333,4.205116336526793e+24,0.49450493995137723,4.214571873701786e+24,0.49336829426798745,4.2242203970113583e+24,0.4922084498119881,4.234053740428043e+24,0.4910263882177063
6,1.6508012114548383e+21,0.9956971058358332,2.1277434069200642e+24,-4.546067342906922,2.0930309053105226e+24,-4.455587508289103,2.0590078120328856e+24,-4.366904650234843,2.0256575832428956e+24,-4.279975646404266,1.992964152999393e+24,-4.194758620135316
7,1.438745540108905e+22,0.9905972500405299,1.8044572074537955e+24,-0.1792814963629692,1.77621584778429e+24,-0.16082469242613628,1.7486452523814597e+24,-0.142806258479373,1.7217282888096214e+24,-0.12521499782357925,1.6954483355283588e+24,-0.10804004764916808
8,6.807799621877495e+21,0.9976319613860469,1.4620096695681398e+24,0.4914516372684816,1.4499521318055567e+24,0.4956457552797163,1.4383215883179432e+24,0.49969134674974447,1.42710602432293e+24,0.5035925909244561,1.41629379939914e+24,0.5073535368312656
9,2.2978530295956565e+21,0.9904191524330144,1.9116980098749396e+24,-6.970782722315588,1.8807197835416616e+24,-6.841619690314824,1.8503465453569514e+24,-6.714979143066829,1.8205638740184416e+24,-6.590800951269199,1.7913577633204457e+24,-6.469026716355992
10,9.471207617204102e+21,0.9988489055859311,4.958673407362772e+24,0.3973417655802076,4.95714908589686e+24,0.39752702579153165,4.955992458644192e+24,0.39766759785198225,4.955191520530846e+24,0.3977649408124103,4.95473466237659e+24,0.3978204656082591
