modelo,metrica,media,desvio_padrao,maior_valor,menor_valor
Polinomial q=9,MSE,1.4544140610392748e+22,7.972012243333428e+22,1.5710536588600455e+24,6.302667881763665e+20
Polinomial q=9,R2,0.9948889606724166,0.01447398863597261,0.9998735295822583,0.8159015087088419
MQO tradicional,MSE,3.378056985407232e+24,2.1948661748964197e+24,1.6959542548236248e+25,7.235782440290543e+23
MQO tradicional,R2,-1.321407251737835,9.5536538662893,0.7585664810662776,-167.07877870765003
MQO regularizado lambda=0.25,MSE,3.376349631821843e+24,2.2149738826831064e+24,1.7031411133774535e+25,7.205820954157326e+23
MQO regularizado lambda=0.25,R2,-1.2942215321734751,9.438029572887583,0.757034215363371,-165.1663800554586
MQO regularizado lambda=0.5,MSE,3.374981542445234e+24,2.2349371411824057e+24,1.7102698523054787e+25,7.177564789893368e+23
MQO regularizado lambda=0.5,R2,-1.267593542561963,9.324421420123432,0.7554688750706354,-163.28640925566478
MQO regularizado lambda=0.75,MSE,3.373941696777227e+24,2.2547548632458264e+24,1.7173410684981842e+25,7.150962556131207e+23
MQO regularizado lambda=0.75,R2,-1.241509731064651,9.21278367426517,0.7538718526689524,-161.43814049328142
MQO regularizado lambda=1,MSE,3.373219437103692e+24,2.2744261841470779e+24,1.7243553539170613e+25,7.12596450761883e+23
MQO regularizado lambda=1,R2,-1.2159569399071142,9.103071881702732,0.7522444911729234,-159.62086811184255
